"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"State"	"States Code"	"Year"	"Year Code"	Count	Population	Crude Rate
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"1999"	"1999"	295	4430141	6.7
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2000"	"2000"	296	4452173	6.6
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2001"	"2001"	302	4467634	6.8
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2002"	"2002"	306	4480089	6.8
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2003"	"2003"	300	4503491	6.7
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2004"	"2004"	316	4530729	7.0
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2005"	"2005"	296	4565917	6.5
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2006"	"2006"	308	4628981	6.7
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2007"	"2007"	334	4672840	7.1
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2008"	"2008"	371	4718206	7.9
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2009"	"2009"	361	4757938	7.6
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2010"	"2010"	331	4785822	6.9
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2011"	"2011"	329	4801695	6.9
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2012"	"2012"	392	4817484	8.1
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2013"	"2013"	349	4833996	7.2
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"1999"	"1999"	35	624779	5.6
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2000"	"2000"	31	627963	4.9
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2001"	"2001"	35	633714	5.5
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2002"	"2002"	36	642337	5.6
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2003"	"2003"	31	648414	4.8
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2004"	"2004"	41	659286	6.2
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2005"	"2005"	38	666946	5.7
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2006"	"2006"	26	675302	3.9
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2007"	"2007"	40	680300	5.9
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2008"	"2008"	46	687455	6.7
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2009"	"2009"	53	698895	7.6
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2010"	"2010"	68	713856	9.5
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2011"	"2011"	40	722572	5.5
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2012"	"2012"	42	731081	5.7
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2013"	"2013"	37	737259	5.0
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"1999"	"1999"	347	5023823	6.9
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2000"	"2000"	319	5160586	6.2
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2001"	"2001"	334	5273477	6.3
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2002"	"2002"	359	5396255	6.7
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2003"	"2003"	334	5510364	6.1
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2004"	"2004"	410	5652404	7.3
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2005"	"2005"	411	5839077	7.0
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2006"	"2006"	428	6029141	7.1
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2007"	"2007"	421	6167681	6.8
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2008"	"2008"	456	6280362	7.3
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2009"	"2009"	459	6343154	7.2
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2010"	"2010"	458	6411999	7.1
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2011"	"2011"	458	6472867	7.1
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2012"	"2012"	466	6556236	7.1
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2013"	"2013"	432	6634997	6.5
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2001"	"2001"	150	2691571	5.6
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2002"	"2002"	149	2705927	5.5
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2003"	"2003"	185	2724816	6.8
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2004"	"2004"	180	2749686	6.5
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2005"	"2005"	186	2781097	6.7
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2006"	"2006"	201	2821761	7.1
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2007"	"2007"	223	2848650	7.8
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2008"	"2008"	203	2874554	7.1
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2009"	"2009"	204	2896843	7.0
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2010"	"2010"	212	2922297	7.3
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2011"	"2011"	200	2938430	6.8
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2012"	"2012"	218	2949300	7.4
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2013"	"2013"	227	2958765	7.7
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"1999"	"1999"	2047	33499204	6.1
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2000"	"2000"	1956	33987977	5.8
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2001"	"2001"	2004	34479458	5.8
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2002"	"2002"	2099	34871843	6.0
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2003"	"2003"	2163	35253159	6.1
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2004"	"2004"	2151	35574576	6.0
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2005"	"2005"	2145	35827943	6.0
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2006"	"2006"	2094	36021202	5.8
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2007"	"2007"	2234	36250311	6.2
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2008"	"2008"	2214	36604337	6.0
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2009"	"2009"	2300	36961229	6.2
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2010"	"2010"	2295	37336011	6.1
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2011"	"2011"	2243	37701901	5.9
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2012"	"2012"	2303	38062780	6.1
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2013"	"2013"	2374	38431393	6.2
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"1999"	"1999"	264	4226018	6.2
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2000"	"2000"	275	4326921	6.4
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2001"	"2001"	307	4425687	6.9
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2002"	"2002"	278	4490406	6.2
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2003"	"2003"	276	4528732	6.1
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2004"	"2004"	297	4575013	6.5
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2005"	"2005"	318	4631888	6.9
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2006"	"2006"	310	4720423	6.6
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2007"	"2007"	311	4803868	6.5
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2008"	"2008"	339	4889730	6.9
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2009"	"2009"	360	4972195	7.2
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2010"	"2010"	334	5048575	6.6
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2011"	"2011"	348	5119661	6.8
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2012"	"2012"	337	5191709	6.5
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2013"	"2013"	317	5272086	6.0
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"1999"	"1999"	254	3386401	7.5
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2000"	"2000"	290	3411777	8.5
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2001"	"2001"	270	3432835	7.9
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2002"	"2002"	248	3458749	7.2
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2003"	"2003"	271	3484336	7.8
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2004"	"2004"	271	3496094	7.8
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2005"	"2005"	263	3506956	7.5
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2006"	"2006"	262	3517460	7.4
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2007"	"2007"	253	3527270	7.2
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2008"	"2008"	283	3545579	8.0
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2009"	"2009"	283	3561807	7.9
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2010"	"2010"	274	3579345	7.7
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2011"	"2011"	280	3590537	7.8
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2012"	"2012"	257	3594362	7.2
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2013"	"2013"	299	3599341	8.3
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"1999"	"1999"	57	774990	7.4
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2000"	"2000"	49	786373	6.2
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2001"	"2001"	64	795699	8.0
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2002"	"2002"	50	806169	6.2
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2003"	"2003"	42	818003	5.1
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2004"	"2004"	68	830803	8.2
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2005"	"2005"	69	845150	8.2
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2006"	"2006"	66	859268	7.7
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2007"	"2007"	62	871749	7.1
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2008"	"2008"	76	883874	8.6
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2009"	"2009"	67	891730	7.5
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2010"	"2010"	58	899731	6.4
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2011"	"2011"	67	907829	7.4
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2012"	"2012"	68	916881	7.4
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2013"	"2013"	66	925240	7.1
	"Brain and Other Nervous System"	"31010-31040"	"District of Columbia"	"11"	"1999"	"1999"	39	570213	6.8
	"Brain and Other Nervous System"	"31010-31040"	"District of Columbia"	"11"	"2000"	"2000"	34	572046	5.9
	"Brain and Other Nervous System"	"31010-31040"	"District of Columbia"	"11"	"2001"	"2001"	33	574504	5.7
	"Brain and Other Nervous System"	"31010-31040"	"District of Columbia"	"11"	"2003"	"2003"	30	568502	5.3
	"Brain and Other Nervous System"	"31010-31040"	"District of Columbia"	"11"	"2004"	"2004"	31	567754	5.5
	"Brain and Other Nervous System"	"31010-31040"	"District of Columbia"	"11"	"2005"	"2005"	39	567136	6.9
	"Brain and Other Nervous System"	"31010-31040"	"District of Columbia"	"11"	"2006"	"2006"	33	570681	5.8
	"Brain and Other Nervous System"	"31010-31040"	"District of Columbia"	"11"	"2007"	"2007"	39	574404	6.8
	"Brain and Other Nervous System"	"31010-31040"	"District of Columbia"	"11"	"2008"	"2008"	39	580236	6.7
	"Brain and Other Nervous System"	"31010-31040"	"District of Columbia"	"11"	"2009"	"2009"	33	592228	5.6
	"Brain and Other Nervous System"	"31010-31040"	"District of Columbia"	"11"	"2010"	"2010"	38	605210	6.3
	"Brain and Other Nervous System"	"31010-31040"	"District of Columbia"	"11"	"2011"	"2011"	32	620427	5.2
	"Brain and Other Nervous System"	"31010-31040"	"District of Columbia"	"11"	"2012"	"2012"	35	635040	5.5
	"Brain and Other Nervous System"	"31010-31040"	"District of Columbia"	"11"	"2013"	"2013"	40	649111	6.2
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"1999"	"1999"	1221	15759421	7.7
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2000"	"2000"	1367	16047515	8.5
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2001"	"2001"	1279	16356966	7.8
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2002"	"2002"	1332	16689370	8.0
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2003"	"2003"	1319	17004085	7.8
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2004"	"2004"	1413	17415318	8.1
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2005"	"2005"	1439	17842038	8.1
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2006"	"2006"	1385	18166990	7.6
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2007"	"2007"	1398	18367842	7.6
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2008"	"2008"	1386	18527305	7.5
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2009"	"2009"	1480	18652644	7.9
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2010"	"2010"	1467	18852220	7.8
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2011"	"2011"	1460	19107900	7.6
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2012"	"2012"	1430	19355257	7.4
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2013"	"2013"	1494	19600311	7.6
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"1999"	"1999"	463	8045965	5.8
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2000"	"2000"	462	8227303	5.6
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2001"	"2001"	496	8377038	5.9
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2002"	"2002"	510	8508256	6.0
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2003"	"2003"	505	8622793	5.9
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2004"	"2004"	538	8769252	6.1
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2005"	"2005"	548	8925922	6.1
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2006"	"2006"	538	9155813	5.9
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2007"	"2007"	573	9349988	6.1
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2008"	"2008"	587	9504843	6.2
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2009"	"2009"	599	9620846	6.2
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2010"	"2010"	577	9714464	5.9
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2011"	"2011"	589	9813201	6.0
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2012"	"2012"	632	9919000	6.4
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2013"	"2013"	624	9994759	6.2
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"1999"	"1999"	52	1210300	4.3
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2000"	"2000"	60	1213519	4.9
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2001"	"2001"	67	1225948	5.5
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2002"	"2002"	56	1239613	4.5
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2003"	"2003"	53	1251154	4.2
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2004"	"2004"	57	1273569	4.5
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2005"	"2005"	49	1292729	3.8
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2006"	"2006"	58	1309731	4.4
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2007"	"2007"	57	1315675	4.3
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2008"	"2008"	61	1332213	4.6
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2009"	"2009"	69	1346717	5.1
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2010"	"2010"	60	1363950	4.4
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2011"	"2011"	46	1378251	3.3
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2012"	"2012"	69	1392766	5.0
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2013"	"2013"	72	1408987	5.1
	"Brain and Other Nervous System"	"31010-31040"	"Idaho"	"16"	"1999"	"1999"	100	1275674	7.8
	"Brain and Other Nervous System"	"31010-31040"	"Idaho"	"16"	"2000"	"2000"	104	1299430	8.0
	"Brain and Other Nervous System"	"31010-31040"	"Idaho"	"16"	"2001"	"2001"	89	1319962	6.7
	"Brain and Other Nervous System"	"31010-31040"	"Idaho"	"16"	"2002"	"2002"	110	1340372	8.2
	"Brain and Other Nervous System"	"31010-31040"	"Idaho"	"16"	"2003"	"2003"	100	1363380	7.3
	"Brain and Other Nervous System"	"31010-31040"	"Idaho"	"16"	"2004"	"2004"	100	1391802	7.2
	"Brain and Other Nervous System"	"31010-31040"	"Idaho"	"16"	"2005"	"2005"	126	1428241	8.8
	"Brain and Other Nervous System"	"31010-31040"	"Idaho"	"16"	"2006"	"2006"	99	1468669	6.7
	"Brain and Other Nervous System"	"31010-31040"	"Idaho"	"16"	"2007"	"2007"	120	1505105	8.0
	"Brain and Other Nervous System"	"31010-31040"	"Idaho"	"16"	"2008"	"2008"	120	1534320	7.8
	"Brain and Other Nervous System"	"31010-31040"	"Idaho"	"16"	"2009"	"2009"	101	1554439	6.5
	"Brain and Other Nervous System"	"31010-31040"	"Idaho"	"16"	"2010"	"2010"	100	1570639	6.4
	"Brain and Other Nervous System"	"31010-31040"	"Idaho"	"16"	"2011"	"2011"	96	1583780	6.1
	"Brain and Other Nervous System"	"31010-31040"	"Idaho"	"16"	"2012"	"2012"	122	1595590	7.6
	"Brain and Other Nervous System"	"31010-31040"	"Idaho"	"16"	"2013"	"2013"	116	1612843	7.2
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"1999"	"1999"	791	12359020	6.4
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2000"	"2000"	774	12434161	6.2
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2001"	"2001"	792	12488445	6.3
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2002"	"2002"	762	12525556	6.1
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2003"	"2003"	800	12556006	6.4
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2004"	"2004"	852	12589773	6.8
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2005"	"2005"	810	12609903	6.4
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2006"	"2006"	894	12643955	7.1
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2007"	"2007"	829	12695866	6.5
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2008"	"2008"	892	12747038	7.0
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2009"	"2009"	841	12796778	6.6
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2010"	"2010"	893	12840097	7.0
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2011"	"2011"	909	12858725	7.1
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2012"	"2012"	828	12873763	6.4
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2013"	"2013"	835	12890552	6.5
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"1999"	"1999"	427	6044969	7.1
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2000"	"2000"	378	6091866	6.2
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2001"	"2001"	429	6127760	7.0
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2002"	"2002"	425	6155967	6.9
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2003"	"2003"	437	6196638	7.1
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2004"	"2004"	445	6233007	7.1
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2005"	"2005"	436	6278616	6.9
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2006"	"2006"	486	6332669	7.7
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2007"	"2007"	485	6379599	7.6
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2008"	"2008"	505	6424806	7.9
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2009"	"2009"	432	6459325	6.7
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2010"	"2010"	499	6490308	7.7
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2011"	"2011"	486	6516560	7.5
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2012"	"2012"	467	6537632	7.1
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2013"	"2013"	461	6570713	7.0
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	"1999"	"1999"	209	2917634	7.2
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	"2000"	"2000"	225	2929067	7.7
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	"2001"	"2001"	243	2931997	8.3
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	"2002"	"2002"	228	2934234	7.8
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	"2003"	"2003"	224	2941999	7.6
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	"2004"	"2004"	234	2953635	7.9
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	"2005"	"2005"	255	2964454	8.6
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	"2006"	"2006"	233	2982644	7.8
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	"2007"	"2007"	255	2999212	8.5
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	"2008"	"2008"	248	3016734	8.2
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	"2009"	"2009"	254	3032870	8.4
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	"2010"	"2010"	217	3050295	7.1
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	"2011"	"2011"	263	3064904	8.6
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	"2012"	"2012"	270	3075935	8.8
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	"2013"	"2013"	229	3092341	7.4
	"Brain and Other Nervous System"	"31010-31040"	"Kansas"	"20"	"1999"	"1999"	168	2678338	6.3
	"Brain and Other Nervous System"	"31010-31040"	"Kansas"	"20"	"2000"	"2000"	197	2693681	7.3
	"Brain and Other Nervous System"	"31010-31040"	"Kansas"	"20"	"2001"	"2001"	208	2702162	7.7
	"Brain and Other Nervous System"	"31010-31040"	"Kansas"	"20"	"2002"	"2002"	191	2713535	7.0
	"Brain and Other Nervous System"	"31010-31040"	"Kansas"	"20"	"2003"	"2003"	205	2723004	7.5
	"Brain and Other Nervous System"	"31010-31040"	"Kansas"	"20"	"2004"	"2004"	197	2734373	7.2
	"Brain and Other Nervous System"	"31010-31040"	"Kansas"	"20"	"2005"	"2005"	205	2745299	7.5
	"Brain and Other Nervous System"	"31010-31040"	"Kansas"	"20"	"2006"	"2006"	185	2762931	6.7
	"Brain and Other Nervous System"	"31010-31040"	"Kansas"	"20"	"2007"	"2007"	215	2783785	7.7
	"Brain and Other Nervous System"	"31010-31040"	"Kansas"	"20"	"2008"	"2008"	224	2808076	8.0
	"Brain and Other Nervous System"	"31010-31040"	"Kansas"	"20"	"2009"	"2009"	175	2832704	6.2
	"Brain and Other Nervous System"	"31010-31040"	"Kansas"	"20"	"2010"	"2010"	192	2858949	6.7
	"Brain and Other Nervous System"	"31010-31040"	"Kansas"	"20"	"2011"	"2011"	251	2869965	8.7
	"Brain and Other Nervous System"	"31010-31040"	"Kansas"	"20"	"2012"	"2012"	212	2885966	7.3
	"Brain and Other Nervous System"	"31010-31040"	"Kansas"	"20"	"2013"	"2013"	219	2895801	7.6
	"Brain and Other Nervous System"	"31010-31040"	"Kentucky"	"21"	"1999"	"1999"	274	4018053	6.8
	"Brain and Other Nervous System"	"31010-31040"	"Kentucky"	"21"	"2000"	"2000"	286	4049021	7.1
	"Brain and Other Nervous System"	"31010-31040"	"Kentucky"	"21"	"2001"	"2001"	255	4068132	6.3
	"Brain and Other Nervous System"	"31010-31040"	"Kentucky"	"21"	"2002"	"2002"	278	4089875	6.8
	"Brain and Other Nervous System"	"31010-31040"	"Kentucky"	"21"	"2003"	"2003"	295	4117170	7.2
