"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"1999"	"1999"	210	4430141	4.7
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2000"	"2000"	217	4452173	4.9
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2001"	"2001"	203	4467634	4.5
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2002"	"2002"	219	4480089	4.9
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2003"	"2003"	204	4503491	4.5
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2004"	"2004"	215	4530729	4.7
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2005"	"2005"	193	4565917	4.2
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2006"	"2006"	198	4628981	4.3
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2007"	"2007"	242	4672840	5.2
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2008"	"2008"	247	4718206	5.2
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2009"	"2009"	268	4757938	5.6
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2010"	"2010"	274	4785822	5.7
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2011"	"2011"	263	4801695	5.5
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2012"	"2012"	266	4817484	5.5
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2013"	"2013"	298	4833996	6.2
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"1999"	"1999"	19	624779	3.0
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2001"	"2001"	22	633714	3.5
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2002"	"2002"	20	642337	3.1
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2003"	"2003"	19	648414	2.9
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2004"	"2004"	24	659286	3.6
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2005"	"2005"	21	666946	3.1
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2006"	"2006"	19	675302	2.8
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2007"	"2007"	20	680300	2.9
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2008"	"2008"	26	687455	3.8
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2009"	"2009"	25	698895	3.6
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2010"	"2010"	24	713856	3.4
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2011"	"2011"	39	722572	5.4
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2012"	"2012"	27	731081	3.7
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2013"	"2013"	30	737259	4.1
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"1999"	"1999"	226	5023823	4.5
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2000"	"2000"	220	5160586	4.3
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2001"	"2001"	218	5273477	4.1
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2002"	"2002"	215	5396255	4.0
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2003"	"2003"	222	5510364	4.0
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2004"	"2004"	227	5652404	4.0
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2005"	"2005"	279	5839077	4.8
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2006"	"2006"	252	6029141	4.2
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2007"	"2007"	254	6167681	4.1
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2008"	"2008"	273	6280362	4.3
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2009"	"2009"	278	6343154	4.4
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2010"	"2010"	275	6411999	4.3
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2011"	"2011"	278	6472867	4.3
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2012"	"2012"	340	6556236	5.2
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2013"	"2013"	329	6634997	5.0
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"1999"	"1999"	172	2651860	6.5
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2000"	"2000"	161	2678588	6.0
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2001"	"2001"	140	2691571	5.2
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2002"	"2002"	154	2705927	5.7
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2003"	"2003"	148	2724816	5.4
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2004"	"2004"	147	2749686	5.3
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2005"	"2005"	146	2781097	5.2
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2006"	"2006"	134	2821761	4.7
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2007"	"2007"	173	2848650	6.1
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2008"	"2008"	158	2874554	5.5
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2009"	"2009"	164	2896843	5.7
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2010"	"2010"	157	2922297	5.4
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2011"	"2011"	157	2938430	5.3
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2012"	"2012"	175	2949300	5.9
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2013"	"2013"	168	2958765	5.7
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"1999"	"1999"	1442	33499204	4.3
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2000"	"2000"	1380	33987977	4.1
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2001"	"2001"	1361	34479458	3.9
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2002"	"2002"	1409	34871843	4.0
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2003"	"2003"	1413	35253159	4.0
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2004"	"2004"	1388	35574576	3.9
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2005"	"2005"	1476	35827943	4.1
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2006"	"2006"	1421	36021202	3.9
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2007"	"2007"	1481	36250311	4.1
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2008"	"2008"	1513	36604337	4.1
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2009"	"2009"	1566	36961229	4.2
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2010"	"2010"	1528	37336011	4.1
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2011"	"2011"	1622	37701901	4.3
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2012"	"2012"	1714	38062780	4.5
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2013"	"2013"	1709	38431393	4.4
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"1999"	"1999"	163	4226018	3.9
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2000"	"2000"	167	4326921	3.9
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2001"	"2001"	172	4425687	3.9
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2002"	"2002"	174	4490406	3.9
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2003"	"2003"	206	4528732	4.5
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2004"	"2004"	176	4575013	3.8
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2005"	"2005"	186	4631888	4.0
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2006"	"2006"	199	4720423	4.2
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2007"	"2007"	208	4803868	4.3
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2008"	"2008"	207	4889730	4.2
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2009"	"2009"	216	4972195	4.3
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2010"	"2010"	226	5048575	4.5
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2011"	"2011"	214	5119661	4.2
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2012"	"2012"	243	5191709	4.7
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2013"	"2013"	256	5272086	4.9
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"1999"	"1999"	157	3386401	4.6
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2000"	"2000"	165	3411777	4.8
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2001"	"2001"	151	3432835	4.4
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2002"	"2002"	146	3458749	4.2
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2003"	"2003"	153	3484336	4.4
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2004"	"2004"	155	3496094	4.4
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2005"	"2005"	166	3506956	4.7
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2006"	"2006"	154	3517460	4.4
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2007"	"2007"	154	3527270	4.4
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2008"	"2008"	153	3545579	4.3
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2009"	"2009"	182	3561807	5.1
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2010"	"2010"	199	3579345	5.6
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2011"	"2011"	171	3590537	4.8
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2012"	"2012"	168	3594362	4.7
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2013"	"2013"	155	3599341	4.3
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"1999"	"1999"	36	774990	4.6
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2000"	"2000"	39	786373	5.0
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2001"	"2001"	46	795699	5.8
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2002"	"2002"	40	806169	5.0
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2003"	"2003"	34	818003	4.2
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2004"	"2004"	33	830803	4.0
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2005"	"2005"	39	845150	4.6
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2006"	"2006"	46	859268	5.4
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2007"	"2007"	35	871749	4.0
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2008"	"2008"	50	883874	5.7
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2009"	"2009"	42	891730	4.7
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2010"	"2010"	30	899731	3.3
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2011"	"2011"	45	907829	5.0
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2012"	"2012"	47	916881	5.1
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2013"	"2013"	53	925240	5.7
	"Brain and Other Nervous System"	"31010-31040"	"District of Columbia"	"11"	"2000"	"2000"	18	572046	3.1
	"Brain and Other Nervous System"	"31010-31040"	"District of Columbia"	"11"	"2001"	"2001"	22	574504	3.8
	"Brain and Other Nervous System"	"31010-31040"	"District of Columbia"	"11"	"2002"	"2002"	17	573158	3.0
	"Brain and Other Nervous System"	"31010-31040"	"District of Columbia"	"11"	"2003"	"2003"	16	568502	2.8
	"Brain and Other Nervous System"	"31010-31040"	"District of Columbia"	"11"	"2004"	"2004"	18	567754	3.2
	"Brain and Other Nervous System"	"31010-31040"	"District of Columbia"	"11"	"2005"	"2005"	17	567136	3.0
	"Brain and Other Nervous System"	"31010-31040"	"District of Columbia"	"11"	"2006"	"2006"	21	570681	3.7
	"Brain and Other Nervous System"	"31010-31040"	"District of Columbia"	"11"	"2008"	"2008"	24	580236	4.1
	"Brain and Other Nervous System"	"31010-31040"	"District of Columbia"	"11"	"2009"	"2009"	26	592228	4.4
	"Brain and Other Nervous System"	"31010-31040"	"District of Columbia"	"11"	"2010"	"2010"	19	605210	3.1
	"Brain and Other Nervous System"	"31010-31040"	"District of Columbia"	"11"	"2011"	"2011"	16	620427	2.6
	"Brain and Other Nervous System"	"31010-31040"	"District of Columbia"	"11"	"2012"	"2012"	18	635040	2.8
	"Brain and Other Nervous System"	"31010-31040"	"District of Columbia"	"11"	"2013"	"2013"	18	649111	2.8
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"1999"	"1999"	773	15759421	4.9
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2000"	"2000"	907	16047515	5.7
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2001"	"2001"	902	16356966	5.5
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2002"	"2002"	858	16689370	5.1
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2003"	"2003"	818	17004085	4.8
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2004"	"2004"	840	17415318	4.8
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2005"	"2005"	889	17842038	5.0
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2006"	"2006"	860	18166990	4.7
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2007"	"2007"	851	18367842	4.6
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2008"	"2008"	867	18527305	4.7
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2009"	"2009"	918	18652644	4.9
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2010"	"2010"	974	18852220	5.2
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2011"	"2011"	1011	19107900	5.3
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2012"	"2012"	1080	19355257	5.6
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2013"	"2013"	1022	19600311	5.2
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"1999"	"1999"	288	8045965	3.6
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2000"	"2000"	294	8227303	3.6
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2001"	"2001"	285	8377038	3.4
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2002"	"2002"	318	8508256	3.7
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2003"	"2003"	299	8622793	3.5
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2004"	"2004"	285	8769252	3.2
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2005"	"2005"	312	8925922	3.5
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2006"	"2006"	319	9155813	3.5
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2007"	"2007"	327	9349988	3.5
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2008"	"2008"	362	9504843	3.8
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2009"	"2009"	351	9620846	3.6
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2010"	"2010"	371	9714464	3.8
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2011"	"2011"	407	9813201	4.1
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2012"	"2012"	395	9919000	4.0
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2013"	"2013"	418	9994759	4.2
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"1999"	"1999"	30	1210300	2.5
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2000"	"2000"	35	1213519	2.9
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2001"	"2001"	33	1225948	2.7
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2002"	"2002"	39	1239613	3.1
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2003"	"2003"	50	1251154	4.0
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2004"	"2004"	34	1273569	2.7
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2005"	"2005"	35	1292729	2.7
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2006"	"2006"	30	1309731	2.3
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2007"	"2007"	30	1315675	2.3
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2008"	"2008"	30	1332213	2.3
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2009"	"2009"	46	1346717	3.4
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2010"	"2010"	37	1363950	2.7
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2011"	"2011"	36	1378251	2.6
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2012"	"2012"	44	1392766	3.2
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2013"	"2013"	48	1408987	3.4
	"Brain and Other Nervous System"	"31010-31040"	"Idaho"	"16"	"1999"	"1999"	79	1275674	6.2
	"Brain and Other Nervous System"	"31010-31040"	"Idaho"	"16"	"2000"	"2000"	67	1299430	5.2
	"Brain and Other Nervous System"	"31010-31040"	"Idaho"	"16"	"2001"	"2001"	63	1319962	4.8
	"Brain and Other Nervous System"	"31010-31040"	"Idaho"	"16"	"2002"	"2002"	59	1340372	4.4
	"Brain and Other Nervous System"	"31010-31040"	"Idaho"	"16"	"2003"	"2003"	82	1363380	6.0
	"Brain and Other Nervous System"	"31010-31040"	"Idaho"	"16"	"2004"	"2004"	70	1391802	5.0
	"Brain and Other Nervous System"	"31010-31040"	"Idaho"	"16"	"2005"	"2005"	81	1428241	5.7
	"Brain and Other Nervous System"	"31010-31040"	"Idaho"	"16"	"2006"	"2006"	78	1468669	5.3
	"Brain and Other Nervous System"	"31010-31040"	"Idaho"	"16"	"2007"	"2007"	72	1505105	4.8
	"Brain and Other Nervous System"	"31010-31040"	"Idaho"	"16"	"2008"	"2008"	73	1534320	4.8
	"Brain and Other Nervous System"	"31010-31040"	"Idaho"	"16"	"2009"	"2009"	75	1554439	4.8
	"Brain and Other Nervous System"	"31010-31040"	"Idaho"	"16"	"2010"	"2010"	77	1570639	4.9
	"Brain and Other Nervous System"	"31010-31040"	"Idaho"	"16"	"2011"	"2011"	77	1583780	4.9
	"Brain and Other Nervous System"	"31010-31040"	"Idaho"	"16"	"2012"	"2012"	83	1595590	5.2
	"Brain and Other Nervous System"	"31010-31040"	"Idaho"	"16"	"2013"	"2013"	82	1612843	5.1
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"1999"	"1999"	527	12359020	4.3
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2000"	"2000"	502	12434161	4.0
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2001"	"2001"	553	12488445	4.4
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2002"	"2002"	467	12525556	3.7
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2003"	"2003"	501	12556006	4.0
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2004"	"2004"	511	12589773	4.1
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2005"	"2005"	445	12609903	3.5
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2006"	"2006"	510	12643955	4.0
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2007"	"2007"	497	12695866	3.9
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2008"	"2008"	501	12747038	3.9
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2009"	"2009"	570	12796778	4.5
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2010"	"2010"	545	12840097	4.2
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2011"	"2011"	550	12858725	4.3
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2012"	"2012"	594	12873763	4.6
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2013"	"2013"	583	12890552	4.5
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"1999"	"1999"	289	6044969	4.8
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2000"	"2000"	269	6091866	4.4
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2001"	"2001"	291	6127760	4.7
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2002"	"2002"	302	6155967	4.9
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2003"	"2003"	299	6196638	4.8
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2004"	"2004"	288	6233007	4.6
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2005"	"2005"	278	6278616	4.4
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2006"	"2006"	298	6332669	4.7
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2007"	"2007"	314	6379599	4.9
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2008"	"2008"	334	6424806	5.2
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2009"	"2009"	302	6459325	4.7
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2010"	"2010"	278	6490308	4.3
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2011"	"2011"	333	6516560	5.1
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2012"	"2012"	357	6537632	5.5
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2013"	"2013"	324	6570713	4.9
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	"1999"	"1999"	166	2917634	5.7
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	"2000"	"2000"	148	2929067	5.1
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	"2001"	"2001"	163	2931997	5.6
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	"2002"	"2002"	162	2934234	5.5
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	"2003"	"2003"	181	2941999	6.2
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	"2004"	"2004"	160	2953635	5.4
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	"2005"	"2005"	179	2964454	6.0
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	"2006"	"2006"	176	2982644	5.9
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	"2007"	"2007"	177	2999212	5.9
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	"2008"	"2008"	182	3016734	6.0
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	"2009"	"2009"	204	3032870	6.7
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	"2010"	"2010"	172	3050295	5.6
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	"2011"	"2011"	157	3064904	5.1
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	"2012"	"2012"	171	3075935	5.6
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	"2013"	"2013"	198	3092341	6.4
	"Brain and Other Nervous System"	"31010-31040"	"Kansas"	"20"	"1999"	"1999"	140	2678338	5.2
	"Brain and Other Nervous System"	"31010-31040"	"Kansas"	"20"	"2000"	"2000"	127	2693681	4.7
	"Brain and Other Nervous System"	"31010-31040"	"Kansas"	"20"	"2001"	"2001"	141	2702162	5.2
	"Brain and Other Nervous System"	"31010-31040"	"Kansas"	"20"	"2002"	"2002"	155	2713535	5.7
	"Brain and Other Nervous System"	"31010-31040"	"Kansas"	"20"	"2003"	"2003"	144	2723004	5.3
	"Brain and Other Nervous System"	"31010-31040"	"Kansas"	"20"	"2004"	"2004"	152	2734373	5.6
	"Brain and Other Nervous System"	"31010-31040"	"Kansas"	"20"	"2005"	"2005"	156	2745299	5.7
	"Brain and Other Nervous System"	"31010-31040"	"Kansas"	"20"	"2006"	"2006"	149	2762931	5.4
	"Brain and Other Nervous System"	"31010-31040"	"Kansas"	"20"	"2007"	"2007"	135	2783785	4.8
	"Brain and Other Nervous System"	"31010-31040"	"Kansas"	"20"	"2008"	"2008"	146	2808076	5.2
	"Brain and Other Nervous System"	"31010-31040"	"Kansas"	"20"	"2009"	"2009"	149	2832704	5.3
	"Brain and Other Nervous System"	"31010-31040"	"Kansas"	"20"	"2010"	"2010"	134	2858949	4.7
	"Brain and Other Nervous System"	"31010-31040"	"Kansas"	"20"	"2011"	"2011"	177	2869965	6.2
	"Brain and Other Nervous System"	"31010-31040"	"Kansas"	"20"	"2012"	"2012"	173	2885966	6.0
	"Brain and Other Nervous System"	"31010-31040"	"Kansas"	"20"	"2013"	"2013"	169	2895801	5.8
	"Brain and Other Nervous System"	"31010-31040"	"Kentucky"	"21"	"1999"	"1999"	188	4018053	4.7
	"Brain and Other Nervous System"	"31010-31040"	"Kentucky"	"21"	"2000"	"2000"	190	4049021	4.7
	"Brain and Other Nervous System"	"31010-31040"	"Kentucky"	"21"	"2001"	"2001"	203	4068132	5.0
	"Brain and Other Nervous System"	"31010-31040"	"Kentucky"	"21"	"2002"	"2002"	194	4089875	4.7
	"Brain and Other Nervous System"	"31010-31040"	"Kentucky"	"21"	"2003"	"2003"	208	4117170	5.1
	"Brain and Other Nervous System"	"31010-31040"	"Kentucky"	"21"	"2004"	"2004"	169	4146101	4.1
