"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"MSA"	"MSA Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"1999"	"1999"	29	693125	4.2
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2000"	"2000"	33	695946	4.7
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2001"	"2001"	30	698108	4.3
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2002"	"2002"	29	699533	4.1
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2003"	"2003"	30	701139	4.3
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2004"	"2004"	28	701811	4.0
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2005"	"2005"	34	702498	4.8
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2006"	"2006"	29	702433	4.1
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2007"	"2007"	34	703423	4.8
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2008"	"2008"	43	703300	6.1
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2009"	"2009"	34	703361	4.8
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2010"	"2010"	53	702967	7.5
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2011"	"2011"	39	702881	5.5
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2012"	"2012"	39	702203	5.6
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2013"	"2013"	40	703210	5.7
	"Brain and Other Nervous System"	"31010-31040"	" Albany-Schenectady-Troy, NY  "	"10580"	"1999"	"1999"	46	824119	5.6
	"Brain and Other Nervous System"	"31010-31040"	" Albany-Schenectady-Troy, NY  "	"10580"	"2000"	"2000"	35	827399	4.2
	"Brain and Other Nervous System"	"31010-31040"	" Albany-Schenectady-Troy, NY  "	"10580"	"2001"	"2001"	35	831034	4.2
	"Brain and Other Nervous System"	"31010-31040"	" Albany-Schenectady-Troy, NY  "	"10580"	"2002"	"2002"	45	836753	5.4
	"Brain and Other Nervous System"	"31010-31040"	" Albany-Schenectady-Troy, NY  "	"10580"	"2003"	"2003"	30	844619	3.6
	"Brain and Other Nervous System"	"31010-31040"	" Albany-Schenectady-Troy, NY  "	"10580"	"2004"	"2004"	36	850384	4.2
	"Brain and Other Nervous System"	"31010-31040"	" Albany-Schenectady-Troy, NY  "	"10580"	"2005"	"2005"	49	854604	5.7
	"Brain and Other Nervous System"	"31010-31040"	" Albany-Schenectady-Troy, NY  "	"10580"	"2006"	"2006"	38	860365	4.4
	"Brain and Other Nervous System"	"31010-31040"	" Albany-Schenectady-Troy, NY  "	"10580"	"2007"	"2007"	43	863068	5.0
	"Brain and Other Nervous System"	"31010-31040"	" Albany-Schenectady-Troy, NY  "	"10580"	"2008"	"2008"	44	866282	5.1
	"Brain and Other Nervous System"	"31010-31040"	" Albany-Schenectady-Troy, NY  "	"10580"	"2009"	"2009"	46	869361	5.3
	"Brain and Other Nervous System"	"31010-31040"	" Albany-Schenectady-Troy, NY  "	"10580"	"2010"	"2010"	33	870954	3.8
	"Brain and Other Nervous System"	"31010-31040"	" Albany-Schenectady-Troy, NY  "	"10580"	"2011"	"2011"	38	872966	4.4
	"Brain and Other Nervous System"	"31010-31040"	" Albany-Schenectady-Troy, NY  "	"10580"	"2012"	"2012"	46	875270	5.3
	"Brain and Other Nervous System"	"31010-31040"	" Albany-Schenectady-Troy, NY  "	"10580"	"2013"	"2013"	52	878479	5.9
	"Brain and Other Nervous System"	"31010-31040"	" Albuquerque, NM  "	"10740"	"1999"	"1999"	27	722692	3.7
	"Brain and Other Nervous System"	"31010-31040"	" Albuquerque, NM  "	"10740"	"2000"	"2000"	19	732220	2.6
	"Brain and Other Nervous System"	"31010-31040"	" Albuquerque, NM  "	"10740"	"2001"	"2001"	24	741932	3.2
	"Brain and Other Nervous System"	"31010-31040"	" Albuquerque, NM  "	"10740"	"2002"	"2002"	26	757716	3.4
	"Brain and Other Nervous System"	"31010-31040"	" Albuquerque, NM  "	"10740"	"2003"	"2003"	38	772128	4.9
	"Brain and Other Nervous System"	"31010-31040"	" Albuquerque, NM  "	"10740"	"2004"	"2004"	36	789237	4.6
	"Brain and Other Nervous System"	"31010-31040"	" Albuquerque, NM  "	"10740"	"2005"	"2005"	28	809551	3.5
	"Brain and Other Nervous System"	"31010-31040"	" Albuquerque, NM  "	"10740"	"2006"	"2006"	32	831252	3.8
	"Brain and Other Nervous System"	"31010-31040"	" Albuquerque, NM  "	"10740"	"2007"	"2007"	27	849641	3.2
	"Brain and Other Nervous System"	"31010-31040"	" Albuquerque, NM  "	"10740"	"2008"	"2008"	40	863383	4.6
	"Brain and Other Nervous System"	"31010-31040"	" Albuquerque, NM  "	"10740"	"2009"	"2009"	28	876448	3.2
	"Brain and Other Nervous System"	"31010-31040"	" Albuquerque, NM  "	"10740"	"2010"	"2010"	28	889649	3.1
	"Brain and Other Nervous System"	"31010-31040"	" Albuquerque, NM  "	"10740"	"2011"	"2011"	33	897091	3.7
	"Brain and Other Nervous System"	"31010-31040"	" Albuquerque, NM  "	"10740"	"2012"	"2012"	37	901016	4.1
	"Brain and Other Nervous System"	"31010-31040"	" Albuquerque, NM  "	"10740"	"2013"	"2013"	31	903345	3.4
	"Brain and Other Nervous System"	"31010-31040"	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"1999"	"1999"	37	736327	5.0
	"Brain and Other Nervous System"	"31010-31040"	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"2000"	"2000"	36	741817	4.9
	"Brain and Other Nervous System"	"31010-31040"	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"2001"	"2001"	26	748705	3.5
	"Brain and Other Nervous System"	"31010-31040"	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"2002"	"2002"	24	756628	3.2
	"Brain and Other Nervous System"	"31010-31040"	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"2003"	"2003"	39	766938	5.1
	"Brain and Other Nervous System"	"31010-31040"	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"2004"	"2004"	32	777277	4.1
	"Brain and Other Nervous System"	"31010-31040"	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"2005"	"2005"	33	787738	4.2
	"Brain and Other Nervous System"	"31010-31040"	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"2006"	"2006"	44	798586	5.5
	"Brain and Other Nervous System"	"31010-31040"	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"2007"	"2007"	36	807578	4.5
	"Brain and Other Nervous System"	"31010-31040"	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"2008"	"2008"	30	814050	3.7
	"Brain and Other Nervous System"	"31010-31040"	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"2009"	"2009"	36	817779	4.4
	"Brain and Other Nervous System"	"31010-31040"	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"2010"	"2010"	46	822083	5.6
	"Brain and Other Nervous System"	"31010-31040"	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"2011"	"2011"	40	825229	4.8
	"Brain and Other Nervous System"	"31010-31040"	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"2012"	"2012"	44	827109	5.3
	"Brain and Other Nervous System"	"31010-31040"	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"2013"	"2013"	44	827044	5.3
	"Brain and Other Nervous System"	"31010-31040"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"1999"	"1999"	127	4157862	3.1
	"Brain and Other Nervous System"	"31010-31040"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2000"	"2000"	154	4293475	3.6
	"Brain and Other Nervous System"	"31010-31040"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2001"	"2001"	134	4402455	3.0
	"Brain and Other Nervous System"	"31010-31040"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2002"	"2002"	139	4489288	3.1
	"Brain and Other Nervous System"	"31010-31040"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2003"	"2003"	159	4572541	3.5
	"Brain and Other Nervous System"	"31010-31040"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2004"	"2004"	145	4659574	3.1
	"Brain and Other Nervous System"	"31010-31040"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2005"	"2005"	161	4770870	3.4
	"Brain and Other Nervous System"	"31010-31040"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2006"	"2006"	157	4931848	3.2
	"Brain and Other Nervous System"	"31010-31040"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2007"	"2007"	169	5066356	3.3
	"Brain and Other Nervous System"	"31010-31040"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2008"	"2008"	180	5170099	3.5
	"Brain and Other Nervous System"	"31010-31040"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2009"	"2009"	163	5240828	3.1
	"Brain and Other Nervous System"	"31010-31040"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2010"	"2010"	196	5304207	3.7
	"Brain and Other Nervous System"	"31010-31040"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2011"	"2011"	207	5374825	3.9
	"Brain and Other Nervous System"	"31010-31040"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2012"	"2012"	208	5456472	3.8
	"Brain and Other Nervous System"	"31010-31040"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2013"	"2013"	222	5525432	4.0
	"Brain and Other Nervous System"	"31010-31040"	" Augusta-Richmond County, GA-SC  "	"12260"	"1999"	"1999"	30	504895	5.9
	"Brain and Other Nervous System"	"31010-31040"	" Augusta-Richmond County, GA-SC  "	"12260"	"2000"	"2000"	19	508896	3.7
	"Brain and Other Nervous System"	"31010-31040"	" Augusta-Richmond County, GA-SC  "	"12260"	"2001"	"2001"	19	512626	3.7
	"Brain and Other Nervous System"	"31010-31040"	" Augusta-Richmond County, GA-SC  "	"12260"	"2002"	"2002"	17	516818	3.3
	"Brain and Other Nervous System"	"31010-31040"	" Augusta-Richmond County, GA-SC  "	"12260"	"2003"	"2003"	22	520120	4.2
	"Brain and Other Nervous System"	"31010-31040"	" Augusta-Richmond County, GA-SC  "	"12260"	"2004"	"2004"	20	526789	3.8
	"Brain and Other Nervous System"	"31010-31040"	" Augusta-Richmond County, GA-SC  "	"12260"	"2005"	"2005"	16	531294	3.0
	"Brain and Other Nervous System"	"31010-31040"	" Augusta-Richmond County, GA-SC  "	"12260"	"2006"	"2006"	16	538643	3.0
	"Brain and Other Nervous System"	"31010-31040"	" Augusta-Richmond County, GA-SC  "	"12260"	"2007"	"2007"	21	545524	3.8
	"Brain and Other Nervous System"	"31010-31040"	" Augusta-Richmond County, GA-SC  "	"12260"	"2008"	"2008"	25	552627	4.5
	"Brain and Other Nervous System"	"31010-31040"	" Augusta-Richmond County, GA-SC  "	"12260"	"2009"	"2009"	24	558096	4.3
	"Brain and Other Nervous System"	"31010-31040"	" Augusta-Richmond County, GA-SC  "	"12260"	"2010"	"2010"	22	566683	3.9
	"Brain and Other Nervous System"	"31010-31040"	" Augusta-Richmond County, GA-SC  "	"12260"	"2011"	"2011"	28	571047	4.9
	"Brain and Other Nervous System"	"31010-31040"	" Augusta-Richmond County, GA-SC  "	"12260"	"2012"	"2012"	29	576755	5.0
	"Brain and Other Nervous System"	"31010-31040"	" Augusta-Richmond County, GA-SC  "	"12260"	"2013"	"2013"	34	580230	5.9
	"Brain and Other Nervous System"	"31010-31040"	" Austin-Round Rock, TX  "	"12420"	"1999"	"1999"	43	1205898	3.6
	"Brain and Other Nervous System"	"31010-31040"	" Austin-Round Rock, TX  "	"12420"	"2000"	"2000"	43	1264950	3.4
	"Brain and Other Nervous System"	"31010-31040"	" Austin-Round Rock, TX  "	"12420"	"2001"	"2001"	39	1321316	3.0
	"Brain and Other Nervous System"	"31010-31040"	" Austin-Round Rock, TX  "	"12420"	"2002"	"2002"	56	1347822	4.2
	"Brain and Other Nervous System"	"31010-31040"	" Austin-Round Rock, TX  "	"12420"	"2003"	"2003"	56	1376030	4.1
	"Brain and Other Nervous System"	"31010-31040"	" Austin-Round Rock, TX  "	"12420"	"2004"	"2004"	45	1410058	3.2
	"Brain and Other Nervous System"	"31010-31040"	" Austin-Round Rock, TX  "	"12420"	"2005"	"2005"	46	1453358	3.2
	"Brain and Other Nervous System"	"31010-31040"	" Austin-Round Rock, TX  "	"12420"	"2006"	"2006"	53	1515485	3.5
	"Brain and Other Nervous System"	"31010-31040"	" Austin-Round Rock, TX  "	"12420"	"2007"	"2007"	54	1577856	3.4
	"Brain and Other Nervous System"	"31010-31040"	" Austin-Round Rock, TX  "	"12420"	"2008"	"2008"	44	1633870	2.7
	"Brain and Other Nervous System"	"31010-31040"	" Austin-Round Rock, TX  "	"12420"	"2009"	"2009"	68	1682338	4.0
	"Brain and Other Nervous System"	"31010-31040"	" Austin-Round Rock, TX  "	"12420"	"2010"	"2010"	58	1727743	3.4
	"Brain and Other Nervous System"	"31010-31040"	" Austin-Round Rock, TX  "	"12420"	"2011"	"2011"	53	1782089	3.0
	"Brain and Other Nervous System"	"31010-31040"	" Austin-Round Rock, TX  "	"12420"	"2012"	"2012"	82	1836149	4.5
	"Brain and Other Nervous System"	"31010-31040"	" Austin-Round Rock, TX  "	"12420"	"2013"	"2013"	75	1885803	4.0
	"Brain and Other Nervous System"	"31010-31040"	" Bakersfield, CA  "	"12540"	"1999"	"1999"	20	655428	3.1
	"Brain and Other Nervous System"	"31010-31040"	" Bakersfield, CA  "	"12540"	"2000"	"2000"	22	663803	3.3
	"Brain and Other Nervous System"	"31010-31040"	" Bakersfield, CA  "	"12540"	"2001"	"2001"	29	676574	4.3
	"Brain and Other Nervous System"	"31010-31040"	" Bakersfield, CA  "	"12540"	"2002"	"2002"	22	694059	3.2
	"Brain and Other Nervous System"	"31010-31040"	" Bakersfield, CA  "	"12540"	"2003"	"2003"	17	714272	2.4
	"Brain and Other Nervous System"	"31010-31040"	" Bakersfield, CA  "	"12540"	"2004"	"2004"	28	736296	3.8
	"Brain and Other Nervous System"	"31010-31040"	" Bakersfield, CA  "	"12540"	"2005"	"2005"	29	760726	3.8
	"Brain and Other Nervous System"	"31010-31040"	" Bakersfield, CA  "	"12540"	"2006"	"2006"	22	784511	2.8
	"Brain and Other Nervous System"	"31010-31040"	" Bakersfield, CA  "	"12540"	"2007"	"2007"	36	803281	4.5
	"Brain and Other Nervous System"	"31010-31040"	" Bakersfield, CA  "	"12540"	"2008"	"2008"	24	818327	2.9
	"Brain and Other Nervous System"	"31010-31040"	" Bakersfield, CA  "	"12540"	"2009"	"2009"	32	830137	3.9
	"Brain and Other Nervous System"	"31010-31040"	" Bakersfield, CA  "	"12540"	"2010"	"2010"	38	841762	4.5
	"Brain and Other Nervous System"	"31010-31040"	" Bakersfield, CA  "	"12540"	"2011"	"2011"	29	849872	3.4
	"Brain and Other Nervous System"	"31010-31040"	" Bakersfield, CA  "	"12540"	"2012"	"2012"	26	856502	3.0
	"Brain and Other Nervous System"	"31010-31040"	" Bakersfield, CA  "	"12540"	"2013"	"2013"	37	865923	4.3
	"Brain and Other Nervous System"	"31010-31040"	" Baltimore-Columbia-Towson, MD  "	"12580"	"1999"	"1999"	109	2540307	4.3
	"Brain and Other Nervous System"	"31010-31040"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2000"	"2000"	110	2557958	4.3
	"Brain and Other Nervous System"	"31010-31040"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2001"	"2001"	104	2575471	4.0
	"Brain and Other Nervous System"	"31010-31040"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2002"	"2002"	86	2596501	3.3
	"Brain and Other Nervous System"	"31010-31040"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2003"	"2003"	119	2614232	4.6
	"Brain and Other Nervous System"	"31010-31040"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2004"	"2004"	107	2630946	4.1
	"Brain and Other Nervous System"	"31010-31040"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2005"	"2005"	109	2644231	4.1
	"Brain and Other Nervous System"	"31010-31040"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2006"	"2006"	98	2658162	3.7
	"Brain and Other Nervous System"	"31010-31040"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2007"	"2007"	112	2667619	4.2
	"Brain and Other Nervous System"	"31010-31040"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2008"	"2008"	124	2679819	4.6
	"Brain and Other Nervous System"	"31010-31040"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2009"	"2009"	118	2696018	4.4
	"Brain and Other Nervous System"	"31010-31040"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2010"	"2010"	121	2715625	4.5
	"Brain and Other Nervous System"	"31010-31040"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2011"	"2011"	108	2735205	3.9
	"Brain and Other Nervous System"	"31010-31040"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2012"	"2012"	121	2756231	4.4
	"Brain and Other Nervous System"	"31010-31040"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2013"	"2013"	133	2774050	4.8
	"Brain and Other Nervous System"	"31010-31040"	" Baton Rouge, LA  "	"12940"	"1999"	"1999"	31	700767	4.4
	"Brain and Other Nervous System"	"31010-31040"	" Baton Rouge, LA  "	"12940"	"2000"	"2000"	20	707589	2.8
	"Brain and Other Nervous System"	"31010-31040"	" Baton Rouge, LA  "	"12940"	"2001"	"2001"	42	710731	5.9
	"Brain and Other Nervous System"	"31010-31040"	" Baton Rouge, LA  "	"12940"	"2002"	"2002"	28	715379	3.9
	"Brain and Other Nervous System"	"31010-31040"	" Baton Rouge, LA  "	"12940"	"2003"	"2003"	31	722274	4.3
	"Brain and Other Nervous System"	"31010-31040"	" Baton Rouge, LA  "	"12940"	"2004"	"2004"	33	729774	4.5
	"Brain and Other Nervous System"	"31010-31040"	" Baton Rouge, LA  "	"12940"	"2005"	"2005"	30	733689	4.1
	"Brain and Other Nervous System"	"31010-31040"	" Baton Rouge, LA  "	"12940"	"2006"	"2006"	48	771940	6.2
	"Brain and Other Nervous System"	"31010-31040"	" Baton Rouge, LA  "	"12940"	"2007"	"2007"	31	779796	4.0
	"Brain and Other Nervous System"	"31010-31040"	" Baton Rouge, LA  "	"12940"	"2008"	"2008"	43	787767	5.5
	"Brain and Other Nervous System"	"31010-31040"	" Baton Rouge, LA  "	"12940"	"2009"	"2009"	32	795897	4.0
	"Brain and Other Nervous System"	"31010-31040"	" Baton Rouge, LA  "	"12940"	"2010"	"2010"	29	804491	3.6
	"Brain and Other Nervous System"	"31010-31040"	" Baton Rouge, LA  "	"12940"	"2011"	"2011"	31	808657	3.8
	"Brain and Other Nervous System"	"31010-31040"	" Baton Rouge, LA  "	"12940"	"2012"	"2012"	36	814993	4.4
	"Brain and Other Nervous System"	"31010-31040"	" Baton Rouge, LA  "	"12940"	"2013"	"2013"	40	820409	4.9
	"Brain and Other Nervous System"	"31010-31040"	" Birmingham-Hoover, AL  "	"13820"	"1999"	"1999"	51	1047440	4.9
	"Brain and Other Nervous System"	"31010-31040"	" Birmingham-Hoover, AL  "	"13820"	"2000"	"2000"	52	1053306	4.9
	"Brain and Other Nervous System"	"31010-31040"	" Birmingham-Hoover, AL  "	"13820"	"2001"	"2001"	54	1059082	5.1
	"Brain and Other Nervous System"	"31010-31040"	" Birmingham-Hoover, AL  "	"13820"	"2002"	"2002"	45	1062966	4.2
	"Brain and Other Nervous System"	"31010-31040"	" Birmingham-Hoover, AL  "	"13820"	"2003"	"2003"	42	1070886	3.9
	"Brain and Other Nervous System"	"31010-31040"	" Birmingham-Hoover, AL  "	"13820"	"2004"	"2004"	47	1078204	4.4
	"Brain and Other Nervous System"	"31010-31040"	" Birmingham-Hoover, AL  "	"13820"	"2005"	"2005"	34	1086318	3.1
	"Brain and Other Nervous System"	"31010-31040"	" Birmingham-Hoover, AL  "	"13820"	"2006"	"2006"	37	1098818	3.4
	"Brain and Other Nervous System"	"31010-31040"	" Birmingham-Hoover, AL  "	"13820"	"2007"	"2007"	60	1107256	5.4
	"Brain and Other Nervous System"	"31010-31040"	" Birmingham-Hoover, AL  "	"13820"	"2008"	"2008"	66	1117101	5.9
	"Brain and Other Nervous System"	"31010-31040"	" Birmingham-Hoover, AL  "	"13820"	"2009"	"2009"	74	1125271	6.6
	"Brain and Other Nervous System"	"31010-31040"	" Birmingham-Hoover, AL  "	"13820"	"2010"	"2010"	54	1129034	4.8
	"Brain and Other Nervous System"	"31010-31040"	" Birmingham-Hoover, AL  "	"13820"	"2011"	"2011"	54	1131010	4.8
	"Brain and Other Nervous System"	"31010-31040"	" Birmingham-Hoover, AL  "	"13820"	"2012"	"2012"	57	1134297	5.0
	"Brain and Other Nervous System"	"31010-31040"	" Birmingham-Hoover, AL  "	"13820"	"2013"	"2013"	82	1139556	7.2
	"Brain and Other Nervous System"	"31010-31040"	" Boise City, ID  "	"14260"	"1999"	"1999"	31	452837	6.8
	"Brain and Other Nervous System"	"31010-31040"	" Boise City, ID  "	"14260"	"2000"	"2000"	30	469017	6.4
	"Brain and Other Nervous System"	"31010-31040"	" Boise City, ID  "	"14260"	"2001"	"2001"	19	486078	3.9
	"Brain and Other Nervous System"	"31010-31040"	" Boise City, ID  "	"14260"	"2002"	"2002"	19	499994	3.8
	"Brain and Other Nervous System"	"31010-31040"	" Boise City, ID  "	"14260"	"2003"	"2003"	34	512491	6.6
	"Brain and Other Nervous System"	"31010-31040"	" Boise City, ID  "	"14260"	"2004"	"2004"	31	525975	5.9
	"Brain and Other Nervous System"	"31010-31040"	" Boise City, ID  "	"14260"	"2005"	"2005"	28	546980	5.1
	"Brain and Other Nervous System"	"31010-31040"	" Boise City, ID  "	"14260"	"2006"	"2006"	27	570583	4.7
	"Brain and Other Nervous System"	"31010-31040"	" Boise City, ID  "	"14260"	"2007"	"2007"	26	590330	4.4
	"Brain and Other Nervous System"	"31010-31040"	" Boise City, ID  "	"14260"	"2008"	"2008"	21	603218	3.5
	"Brain and Other Nervous System"	"31010-31040"	" Boise City, ID  "	"14260"	"2009"	"2009"	28	611341	4.6
	"Brain and Other Nervous System"	"31010-31040"	" Boise City, ID  "	"14260"	"2010"	"2010"	29	617923	4.7
	"Brain and Other Nervous System"	"31010-31040"	" Boise City, ID  "	"14260"	"2011"	"2011"	29	627627	4.6
	"Brain and Other Nervous System"	"31010-31040"	" Boise City, ID  "	"14260"	"2012"	"2012"	33	637651	5.2
	"Brain and Other Nervous System"	"31010-31040"	" Boise City, ID  "	"14260"	"2013"	"2013"	38	650457	5.8
	"Brain and Other Nervous System"	"31010-31040"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"1999"	"1999"	181	4369743	4.1
	"Brain and Other Nervous System"	"31010-31040"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2000"	"2000"	196	4401256	4.5
	"Brain and Other Nervous System"	"31010-31040"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2001"	"2001"	196	4432132	4.4
	"Brain and Other Nervous System"	"31010-31040"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2002"	"2002"	201	4440034	4.5
	"Brain and Other Nervous System"	"31010-31040"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2003"	"2003"	189	4434723	4.3
	"Brain and Other Nervous System"	"31010-31040"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2004"	"2004"	189	4424956	4.3
	"Brain and Other Nervous System"	"31010-31040"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2005"	"2005"	193	4418046	4.4
	"Brain and Other Nervous System"	"31010-31040"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2006"	"2006"	203	4427356	4.6
	"Brain and Other Nervous System"	"31010-31040"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2007"	"2007"	200	4447838	4.5
	"Brain and Other Nervous System"	"31010-31040"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2008"	"2008"	176	4483141	3.9
	"Brain and Other Nervous System"	"31010-31040"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2009"	"2009"	232	4527220	5.1
	"Brain and Other Nervous System"	"31010-31040"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2010"	"2010"	197	4564659	4.3
	"Brain and Other Nervous System"	"31010-31040"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2011"	"2011"	210	4608848	4.6
	"Brain and Other Nervous System"	"31010-31040"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2012"	"2012"	221	4650668	4.8
	"Brain and Other Nervous System"	"31010-31040"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2013"	"2013"	220	4698049	4.7
	"Brain and Other Nervous System"	"31010-31040"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"1999"	"1999"	22	877043	2.5
	"Brain and Other Nervous System"	"31010-31040"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2000"	"2000"	37	884364	4.2
	"Brain and Other Nervous System"	"31010-31040"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2001"	"2001"	38	889063	4.3
	"Brain and Other Nervous System"	"31010-31040"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2002"	"2002"	42	892900	4.7
	"Brain and Other Nervous System"	"31010-31040"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2003"	"2003"	43	896342	4.8
	"Brain and Other Nervous System"	"31010-31040"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2004"	"2004"	37	897472	4.1
	"Brain and Other Nervous System"	"31010-31040"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2005"	"2005"	35	897653	3.9
	"Brain and Other Nervous System"	"31010-31040"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2006"	"2006"	38	896254	4.2
	"Brain and Other Nervous System"	"31010-31040"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2007"	"2007"	33	897498	3.7
	"Brain and Other Nervous System"	"31010-31040"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2008"	"2008"	35	903824	3.9
	"Brain and Other Nervous System"	"31010-31040"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2009"	"2009"	35	910421	3.8
	"Brain and Other Nervous System"	"31010-31040"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2010"	"2010"	48	919506	5.2
	"Brain and Other Nervous System"	"31010-31040"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2011"	"2011"	40	928722	4.3
	"Brain and Other Nervous System"	"31010-31040"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2012"	"2012"	48	935290	5.1
	"Brain and Other Nervous System"	"31010-31040"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2013"	"2013"	42	942119	4.5
	"Brain and Other Nervous System"	"31010-31040"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"1999"	"1999"	50	1173102	4.3
	"Brain and Other Nervous System"	"31010-31040"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2000"	"2000"	59	1169060	5.0
