"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"MSA"	"MSA Code"	"Year"	"Year Code"	Count	Population	Crude Rate
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"1999"	"1999"	40	693125	5.8
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2000"	"2000"	49	695946	7.0
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2001"	"2001"	41	698108	5.9
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2002"	"2002"	45	699533	6.4
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2003"	"2003"	45	701139	6.4
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2004"	"2004"	40	701811	5.7
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2005"	"2005"	61	702498	8.7
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2006"	"2006"	44	702433	6.3
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2007"	"2007"	53	703423	7.5
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2008"	"2008"	62	703300	8.8
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2009"	"2009"	68	703361	9.7
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2010"	"2010"	59	702967	8.4
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2011"	"2011"	56	702881	8.0
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2012"	"2012"	57	702203	8.1
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2013"	"2013"	64	703210	9.1
	"Brain and Other Nervous System"	"31010-31040"	" Albany-Schenectady-Troy, NY  "	"10580"	"1999"	"1999"	79	824119	9.6
	"Brain and Other Nervous System"	"31010-31040"	" Albany-Schenectady-Troy, NY  "	"10580"	"2000"	"2000"	62	827399	7.5
	"Brain and Other Nervous System"	"31010-31040"	" Albany-Schenectady-Troy, NY  "	"10580"	"2001"	"2001"	72	831034	8.7
	"Brain and Other Nervous System"	"31010-31040"	" Albany-Schenectady-Troy, NY  "	"10580"	"2002"	"2002"	50	836753	6.0
	"Brain and Other Nervous System"	"31010-31040"	" Albany-Schenectady-Troy, NY  "	"10580"	"2003"	"2003"	72	844619	8.5
	"Brain and Other Nervous System"	"31010-31040"	" Albany-Schenectady-Troy, NY  "	"10580"	"2004"	"2004"	60	850384	7.1
	"Brain and Other Nervous System"	"31010-31040"	" Albany-Schenectady-Troy, NY  "	"10580"	"2005"	"2005"	75	854604	8.8
	"Brain and Other Nervous System"	"31010-31040"	" Albany-Schenectady-Troy, NY  "	"10580"	"2006"	"2006"	66	860365	7.7
	"Brain and Other Nervous System"	"31010-31040"	" Albany-Schenectady-Troy, NY  "	"10580"	"2007"	"2007"	72	863068	8.3
	"Brain and Other Nervous System"	"31010-31040"	" Albany-Schenectady-Troy, NY  "	"10580"	"2008"	"2008"	61	866282	7.0
	"Brain and Other Nervous System"	"31010-31040"	" Albany-Schenectady-Troy, NY  "	"10580"	"2009"	"2009"	74	869361	8.5
	"Brain and Other Nervous System"	"31010-31040"	" Albany-Schenectady-Troy, NY  "	"10580"	"2010"	"2010"	75	870954	8.6
	"Brain and Other Nervous System"	"31010-31040"	" Albany-Schenectady-Troy, NY  "	"10580"	"2011"	"2011"	74	872966	8.5
	"Brain and Other Nervous System"	"31010-31040"	" Albany-Schenectady-Troy, NY  "	"10580"	"2012"	"2012"	70	875270	8.0
	"Brain and Other Nervous System"	"31010-31040"	" Albany-Schenectady-Troy, NY  "	"10580"	"2013"	"2013"	79	878479	9.0
	"Brain and Other Nervous System"	"31010-31040"	" Albuquerque, NM  "	"10740"	"1999"	"1999"	49	722692	6.8
	"Brain and Other Nervous System"	"31010-31040"	" Albuquerque, NM  "	"10740"	"2000"	"2000"	37	732220	5.1
	"Brain and Other Nervous System"	"31010-31040"	" Albuquerque, NM  "	"10740"	"2001"	"2001"	36	741932	4.9
	"Brain and Other Nervous System"	"31010-31040"	" Albuquerque, NM  "	"10740"	"2002"	"2002"	51	757716	6.7
	"Brain and Other Nervous System"	"31010-31040"	" Albuquerque, NM  "	"10740"	"2003"	"2003"	45	772128	5.8
	"Brain and Other Nervous System"	"31010-31040"	" Albuquerque, NM  "	"10740"	"2004"	"2004"	44	789237	5.6
	"Brain and Other Nervous System"	"31010-31040"	" Albuquerque, NM  "	"10740"	"2005"	"2005"	48	809551	5.9
	"Brain and Other Nervous System"	"31010-31040"	" Albuquerque, NM  "	"10740"	"2006"	"2006"	40	831252	4.8
	"Brain and Other Nervous System"	"31010-31040"	" Albuquerque, NM  "	"10740"	"2007"	"2007"	44	849641	5.2
	"Brain and Other Nervous System"	"31010-31040"	" Albuquerque, NM  "	"10740"	"2008"	"2008"	49	863383	5.7
	"Brain and Other Nervous System"	"31010-31040"	" Albuquerque, NM  "	"10740"	"2009"	"2009"	52	876448	5.9
	"Brain and Other Nervous System"	"31010-31040"	" Albuquerque, NM  "	"10740"	"2010"	"2010"	41	889649	4.6
	"Brain and Other Nervous System"	"31010-31040"	" Albuquerque, NM  "	"10740"	"2011"	"2011"	45	897091	5.0
	"Brain and Other Nervous System"	"31010-31040"	" Albuquerque, NM  "	"10740"	"2012"	"2012"	57	901016	6.3
	"Brain and Other Nervous System"	"31010-31040"	" Albuquerque, NM  "	"10740"	"2013"	"2013"	50	903345	5.5
	"Brain and Other Nervous System"	"31010-31040"	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"1999"	"1999"	55	736327	7.5
	"Brain and Other Nervous System"	"31010-31040"	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"2000"	"2000"	58	741817	7.8
	"Brain and Other Nervous System"	"31010-31040"	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"2001"	"2001"	64	748705	8.5
	"Brain and Other Nervous System"	"31010-31040"	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"2002"	"2002"	63	756628	8.3
	"Brain and Other Nervous System"	"31010-31040"	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"2003"	"2003"	58	766938	7.6
	"Brain and Other Nervous System"	"31010-31040"	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"2004"	"2004"	58	777277	7.5
	"Brain and Other Nervous System"	"31010-31040"	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"2005"	"2005"	65	787738	8.3
	"Brain and Other Nervous System"	"31010-31040"	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"2006"	"2006"	58	798586	7.3
	"Brain and Other Nervous System"	"31010-31040"	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"2007"	"2007"	71	807578	8.8
	"Brain and Other Nervous System"	"31010-31040"	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"2008"	"2008"	68	814050	8.4
	"Brain and Other Nervous System"	"31010-31040"	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"2009"	"2009"	64	817779	7.8
	"Brain and Other Nervous System"	"31010-31040"	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"2010"	"2010"	73	822083	8.9
	"Brain and Other Nervous System"	"31010-31040"	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"2011"	"2011"	70	825229	8.5
	"Brain and Other Nervous System"	"31010-31040"	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"2012"	"2012"	68	827109	8.2
	"Brain and Other Nervous System"	"31010-31040"	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"2013"	"2013"	58	827044	7.0
	"Brain and Other Nervous System"	"31010-31040"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"1999"	"1999"	240	4157862	5.8
	"Brain and Other Nervous System"	"31010-31040"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2000"	"2000"	226	4293475	5.3
	"Brain and Other Nervous System"	"31010-31040"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2001"	"2001"	235	4402455	5.3
	"Brain and Other Nervous System"	"31010-31040"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2002"	"2002"	270	4489288	6.0
	"Brain and Other Nervous System"	"31010-31040"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2003"	"2003"	245	4572541	5.4
	"Brain and Other Nervous System"	"31010-31040"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2004"	"2004"	268	4659574	5.8
	"Brain and Other Nervous System"	"31010-31040"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2005"	"2005"	295	4770870	6.2
	"Brain and Other Nervous System"	"31010-31040"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2006"	"2006"	265	4931848	5.4
	"Brain and Other Nervous System"	"31010-31040"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2007"	"2007"	288	5066356	5.7
	"Brain and Other Nervous System"	"31010-31040"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2008"	"2008"	301	5170099	5.8
	"Brain and Other Nervous System"	"31010-31040"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2009"	"2009"	292	5240828	5.6
	"Brain and Other Nervous System"	"31010-31040"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2010"	"2010"	284	5304207	5.4
	"Brain and Other Nervous System"	"31010-31040"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2011"	"2011"	327	5374825	6.1
	"Brain and Other Nervous System"	"31010-31040"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2012"	"2012"	341	5456472	6.2
	"Brain and Other Nervous System"	"31010-31040"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2013"	"2013"	332	5525432	6.0
	"Brain and Other Nervous System"	"31010-31040"	" Augusta-Richmond County, GA-SC  "	"12260"	"1999"	"1999"	33	504895	6.5
	"Brain and Other Nervous System"	"31010-31040"	" Augusta-Richmond County, GA-SC  "	"12260"	"2000"	"2000"	31	508896	6.1
	"Brain and Other Nervous System"	"31010-31040"	" Augusta-Richmond County, GA-SC  "	"12260"	"2001"	"2001"	35	512626	6.8
	"Brain and Other Nervous System"	"31010-31040"	" Augusta-Richmond County, GA-SC  "	"12260"	"2002"	"2002"	35	516818	6.8
	"Brain and Other Nervous System"	"31010-31040"	" Augusta-Richmond County, GA-SC  "	"12260"	"2003"	"2003"	32	520120	6.2
	"Brain and Other Nervous System"	"31010-31040"	" Augusta-Richmond County, GA-SC  "	"12260"	"2004"	"2004"	29	526789	5.5
	"Brain and Other Nervous System"	"31010-31040"	" Augusta-Richmond County, GA-SC  "	"12260"	"2005"	"2005"	33	531294	6.2
	"Brain and Other Nervous System"	"31010-31040"	" Augusta-Richmond County, GA-SC  "	"12260"	"2006"	"2006"	31	538643	5.8
	"Brain and Other Nervous System"	"31010-31040"	" Augusta-Richmond County, GA-SC  "	"12260"	"2007"	"2007"	38	545524	7.0
	"Brain and Other Nervous System"	"31010-31040"	" Augusta-Richmond County, GA-SC  "	"12260"	"2008"	"2008"	28	552627	5.1
	"Brain and Other Nervous System"	"31010-31040"	" Augusta-Richmond County, GA-SC  "	"12260"	"2009"	"2009"	52	558096	9.3
	"Brain and Other Nervous System"	"31010-31040"	" Augusta-Richmond County, GA-SC  "	"12260"	"2010"	"2010"	40	566683	7.1
	"Brain and Other Nervous System"	"31010-31040"	" Augusta-Richmond County, GA-SC  "	"12260"	"2011"	"2011"	29	571047	5.1
	"Brain and Other Nervous System"	"31010-31040"	" Augusta-Richmond County, GA-SC  "	"12260"	"2012"	"2012"	39	576755	6.8
	"Brain and Other Nervous System"	"31010-31040"	" Augusta-Richmond County, GA-SC  "	"12260"	"2013"	"2013"	37	580230	6.4
	"Brain and Other Nervous System"	"31010-31040"	" Austin-Round Rock, TX  "	"12420"	"1999"	"1999"	81	1205898	6.7
	"Brain and Other Nervous System"	"31010-31040"	" Austin-Round Rock, TX  "	"12420"	"2000"	"2000"	68	1264950	5.4
	"Brain and Other Nervous System"	"31010-31040"	" Austin-Round Rock, TX  "	"12420"	"2001"	"2001"	77	1321316	5.8
	"Brain and Other Nervous System"	"31010-31040"	" Austin-Round Rock, TX  "	"12420"	"2002"	"2002"	75	1347822	5.6
	"Brain and Other Nervous System"	"31010-31040"	" Austin-Round Rock, TX  "	"12420"	"2003"	"2003"	91	1376030	6.6
	"Brain and Other Nervous System"	"31010-31040"	" Austin-Round Rock, TX  "	"12420"	"2004"	"2004"	87	1410058	6.2
	"Brain and Other Nervous System"	"31010-31040"	" Austin-Round Rock, TX  "	"12420"	"2005"	"2005"	89	1453358	6.1
	"Brain and Other Nervous System"	"31010-31040"	" Austin-Round Rock, TX  "	"12420"	"2006"	"2006"	88	1515485	5.8
	"Brain and Other Nervous System"	"31010-31040"	" Austin-Round Rock, TX  "	"12420"	"2007"	"2007"	100	1577856	6.3
	"Brain and Other Nervous System"	"31010-31040"	" Austin-Round Rock, TX  "	"12420"	"2008"	"2008"	121	1633870	7.4
	"Brain and Other Nervous System"	"31010-31040"	" Austin-Round Rock, TX  "	"12420"	"2009"	"2009"	118	1682338	7.0
	"Brain and Other Nervous System"	"31010-31040"	" Austin-Round Rock, TX  "	"12420"	"2010"	"2010"	99	1727743	5.7
	"Brain and Other Nervous System"	"31010-31040"	" Austin-Round Rock, TX  "	"12420"	"2011"	"2011"	122	1782089	6.8
	"Brain and Other Nervous System"	"31010-31040"	" Austin-Round Rock, TX  "	"12420"	"2012"	"2012"	109	1836149	5.9
	"Brain and Other Nervous System"	"31010-31040"	" Austin-Round Rock, TX  "	"12420"	"2013"	"2013"	120	1885803	6.4
	"Brain and Other Nervous System"	"31010-31040"	" Bakersfield, CA  "	"12540"	"1999"	"1999"	32	655428	4.9
	"Brain and Other Nervous System"	"31010-31040"	" Bakersfield, CA  "	"12540"	"2000"	"2000"	51	663803	7.7
	"Brain and Other Nervous System"	"31010-31040"	" Bakersfield, CA  "	"12540"	"2001"	"2001"	41	676574	6.1
	"Brain and Other Nervous System"	"31010-31040"	" Bakersfield, CA  "	"12540"	"2002"	"2002"	44	694059	6.3
	"Brain and Other Nervous System"	"31010-31040"	" Bakersfield, CA  "	"12540"	"2003"	"2003"	39	714272	5.5
	"Brain and Other Nervous System"	"31010-31040"	" Bakersfield, CA  "	"12540"	"2004"	"2004"	40	736296	5.4
	"Brain and Other Nervous System"	"31010-31040"	" Bakersfield, CA  "	"12540"	"2005"	"2005"	42	760726	5.5
	"Brain and Other Nervous System"	"31010-31040"	" Bakersfield, CA  "	"12540"	"2006"	"2006"	42	784511	5.4
	"Brain and Other Nervous System"	"31010-31040"	" Bakersfield, CA  "	"12540"	"2007"	"2007"	49	803281	6.1
	"Brain and Other Nervous System"	"31010-31040"	" Bakersfield, CA  "	"12540"	"2008"	"2008"	54	818327	6.6
	"Brain and Other Nervous System"	"31010-31040"	" Bakersfield, CA  "	"12540"	"2009"	"2009"	50	830137	6.0
	"Brain and Other Nervous System"	"31010-31040"	" Bakersfield, CA  "	"12540"	"2010"	"2010"	55	841762	6.5
	"Brain and Other Nervous System"	"31010-31040"	" Bakersfield, CA  "	"12540"	"2011"	"2011"	42	849872	4.9
	"Brain and Other Nervous System"	"31010-31040"	" Bakersfield, CA  "	"12540"	"2012"	"2012"	47	856502	5.5
	"Brain and Other Nervous System"	"31010-31040"	" Bakersfield, CA  "	"12540"	"2013"	"2013"	59	865923	6.8
	"Brain and Other Nervous System"	"31010-31040"	" Baltimore-Columbia-Towson, MD  "	"12580"	"1999"	"1999"	180	2540307	7.1
	"Brain and Other Nervous System"	"31010-31040"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2000"	"2000"	179	2557958	7.0
	"Brain and Other Nervous System"	"31010-31040"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2001"	"2001"	168	2575471	6.5
	"Brain and Other Nervous System"	"31010-31040"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2002"	"2002"	194	2596501	7.5
	"Brain and Other Nervous System"	"31010-31040"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2003"	"2003"	180	2614232	6.9
	"Brain and Other Nervous System"	"31010-31040"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2004"	"2004"	168	2630946	6.4
	"Brain and Other Nervous System"	"31010-31040"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2005"	"2005"	183	2644231	6.9
	"Brain and Other Nervous System"	"31010-31040"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2006"	"2006"	182	2658162	6.8
	"Brain and Other Nervous System"	"31010-31040"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2007"	"2007"	202	2667619	7.6
	"Brain and Other Nervous System"	"31010-31040"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2008"	"2008"	189	2679819	7.1
	"Brain and Other Nervous System"	"31010-31040"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2009"	"2009"	168	2696018	6.2
	"Brain and Other Nervous System"	"31010-31040"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2010"	"2010"	188	2715625	6.9
	"Brain and Other Nervous System"	"31010-31040"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2011"	"2011"	191	2735205	7.0
	"Brain and Other Nervous System"	"31010-31040"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2012"	"2012"	195	2756231	7.1
	"Brain and Other Nervous System"	"31010-31040"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2013"	"2013"	189	2774050	6.8
	"Brain and Other Nervous System"	"31010-31040"	" Baton Rouge, LA  "	"12940"	"1999"	"1999"	40	700767	5.7
	"Brain and Other Nervous System"	"31010-31040"	" Baton Rouge, LA  "	"12940"	"2000"	"2000"	41	707589	5.8
	"Brain and Other Nervous System"	"31010-31040"	" Baton Rouge, LA  "	"12940"	"2001"	"2001"	49	710731	6.9
	"Brain and Other Nervous System"	"31010-31040"	" Baton Rouge, LA  "	"12940"	"2002"	"2002"	29	715379	4.1
	"Brain and Other Nervous System"	"31010-31040"	" Baton Rouge, LA  "	"12940"	"2003"	"2003"	49	722274	6.8
	"Brain and Other Nervous System"	"31010-31040"	" Baton Rouge, LA  "	"12940"	"2004"	"2004"	43	729774	5.9
	"Brain and Other Nervous System"	"31010-31040"	" Baton Rouge, LA  "	"12940"	"2005"	"2005"	37	733689	5.0
	"Brain and Other Nervous System"	"31010-31040"	" Baton Rouge, LA  "	"12940"	"2006"	"2006"	52	771940	6.7
	"Brain and Other Nervous System"	"31010-31040"	" Baton Rouge, LA  "	"12940"	"2007"	"2007"	39	779796	5.0
	"Brain and Other Nervous System"	"31010-31040"	" Baton Rouge, LA  "	"12940"	"2008"	"2008"	54	787767	6.9
	"Brain and Other Nervous System"	"31010-31040"	" Baton Rouge, LA  "	"12940"	"2009"	"2009"	42	795897	5.3
	"Brain and Other Nervous System"	"31010-31040"	" Baton Rouge, LA  "	"12940"	"2010"	"2010"	45	804491	5.6
	"Brain and Other Nervous System"	"31010-31040"	" Baton Rouge, LA  "	"12940"	"2011"	"2011"	43	808657	5.3
	"Brain and Other Nervous System"	"31010-31040"	" Baton Rouge, LA  "	"12940"	"2012"	"2012"	48	814993	5.9
	"Brain and Other Nervous System"	"31010-31040"	" Baton Rouge, LA  "	"12940"	"2013"	"2013"	44	820409	5.4
	"Brain and Other Nervous System"	"31010-31040"	" Birmingham-Hoover, AL  "	"13820"	"1999"	"1999"	85	1047440	8.1
	"Brain and Other Nervous System"	"31010-31040"	" Birmingham-Hoover, AL  "	"13820"	"2000"	"2000"	85	1053306	8.1
	"Brain and Other Nervous System"	"31010-31040"	" Birmingham-Hoover, AL  "	"13820"	"2001"	"2001"	80	1059082	7.6
	"Brain and Other Nervous System"	"31010-31040"	" Birmingham-Hoover, AL  "	"13820"	"2002"	"2002"	79	1062966	7.4
	"Brain and Other Nervous System"	"31010-31040"	" Birmingham-Hoover, AL  "	"13820"	"2003"	"2003"	61	1070886	5.7
	"Brain and Other Nervous System"	"31010-31040"	" Birmingham-Hoover, AL  "	"13820"	"2004"	"2004"	81	1078204	7.5
	"Brain and Other Nervous System"	"31010-31040"	" Birmingham-Hoover, AL  "	"13820"	"2005"	"2005"	68	1086318	6.3
	"Brain and Other Nervous System"	"31010-31040"	" Birmingham-Hoover, AL  "	"13820"	"2006"	"2006"	80	1098818	7.3
	"Brain and Other Nervous System"	"31010-31040"	" Birmingham-Hoover, AL  "	"13820"	"2007"	"2007"	80	1107256	7.2
	"Brain and Other Nervous System"	"31010-31040"	" Birmingham-Hoover, AL  "	"13820"	"2008"	"2008"	105	1117101	9.4
	"Brain and Other Nervous System"	"31010-31040"	" Birmingham-Hoover, AL  "	"13820"	"2009"	"2009"	98	1125271	8.7
	"Brain and Other Nervous System"	"31010-31040"	" Birmingham-Hoover, AL  "	"13820"	"2010"	"2010"	72	1129034	6.4
	"Brain and Other Nervous System"	"31010-31040"	" Birmingham-Hoover, AL  "	"13820"	"2011"	"2011"	78	1131010	6.9
	"Brain and Other Nervous System"	"31010-31040"	" Birmingham-Hoover, AL  "	"13820"	"2012"	"2012"	87	1134297	7.7
	"Brain and Other Nervous System"	"31010-31040"	" Birmingham-Hoover, AL  "	"13820"	"2013"	"2013"	83	1139556	7.3
	"Brain and Other Nervous System"	"31010-31040"	" Boise City, ID  "	"14260"	"1999"	"1999"	31	452837	6.8
	"Brain and Other Nervous System"	"31010-31040"	" Boise City, ID  "	"14260"	"2000"	"2000"	40	469017	8.5
	"Brain and Other Nervous System"	"31010-31040"	" Boise City, ID  "	"14260"	"2001"	"2001"	36	486078	7.4
	"Brain and Other Nervous System"	"31010-31040"	" Boise City, ID  "	"14260"	"2002"	"2002"	36	499994	7.2
	"Brain and Other Nervous System"	"31010-31040"	" Boise City, ID  "	"14260"	"2003"	"2003"	41	512491	8.0
	"Brain and Other Nervous System"	"31010-31040"	" Boise City, ID  "	"14260"	"2004"	"2004"	37	525975	7.0
	"Brain and Other Nervous System"	"31010-31040"	" Boise City, ID  "	"14260"	"2005"	"2005"	57	546980	10.4
	"Brain and Other Nervous System"	"31010-31040"	" Boise City, ID  "	"14260"	"2006"	"2006"	36	570583	6.3
	"Brain and Other Nervous System"	"31010-31040"	" Boise City, ID  "	"14260"	"2007"	"2007"	32	590330	5.4
	"Brain and Other Nervous System"	"31010-31040"	" Boise City, ID  "	"14260"	"2008"	"2008"	51	603218	8.5
	"Brain and Other Nervous System"	"31010-31040"	" Boise City, ID  "	"14260"	"2009"	"2009"	45	611341	7.4
	"Brain and Other Nervous System"	"31010-31040"	" Boise City, ID  "	"14260"	"2010"	"2010"	35	617923	5.7
	"Brain and Other Nervous System"	"31010-31040"	" Boise City, ID  "	"14260"	"2011"	"2011"	36	627627	5.7
	"Brain and Other Nervous System"	"31010-31040"	" Boise City, ID  "	"14260"	"2012"	"2012"	46	637651	7.2
	"Brain and Other Nervous System"	"31010-31040"	" Boise City, ID  "	"14260"	"2013"	"2013"	44	650457	6.8
	"Brain and Other Nervous System"	"31010-31040"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"1999"	"1999"	314	4369743	7.2
	"Brain and Other Nervous System"	"31010-31040"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2000"	"2000"	354	4401256	8.0
	"Brain and Other Nervous System"	"31010-31040"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2001"	"2001"	325	4432132	7.3
	"Brain and Other Nervous System"	"31010-31040"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2002"	"2002"	317	4440034	7.1
	"Brain and Other Nervous System"	"31010-31040"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2003"	"2003"	332	4434723	7.5
	"Brain and Other Nervous System"	"31010-31040"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2004"	"2004"	339	4424956	7.7
	"Brain and Other Nervous System"	"31010-31040"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2005"	"2005"	320	4418046	7.2
	"Brain and Other Nervous System"	"31010-31040"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2006"	"2006"	358	4427356	8.1
	"Brain and Other Nervous System"	"31010-31040"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2007"	"2007"	326	4447838	7.3
	"Brain and Other Nervous System"	"31010-31040"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2008"	"2008"	354	4483141	7.9
	"Brain and Other Nervous System"	"31010-31040"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2009"	"2009"	329	4527220	7.3
	"Brain and Other Nervous System"	"31010-31040"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2010"	"2010"	342	4564659	7.5
	"Brain and Other Nervous System"	"31010-31040"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2011"	"2011"	353	4608848	7.7
	"Brain and Other Nervous System"	"31010-31040"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2012"	"2012"	329	4650668	7.1
	"Brain and Other Nervous System"	"31010-31040"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2013"	"2013"	396	4698049	8.4
	"Brain and Other Nervous System"	"31010-31040"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"1999"	"1999"	73	877043	8.3
	"Brain and Other Nervous System"	"31010-31040"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2000"	"2000"	61	884364	6.9
	"Brain and Other Nervous System"	"31010-31040"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2001"	"2001"	77	889063	8.7
	"Brain and Other Nervous System"	"31010-31040"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2002"	"2002"	64	892900	7.2
	"Brain and Other Nervous System"	"31010-31040"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2003"	"2003"	71	896342	7.9
	"Brain and Other Nervous System"	"31010-31040"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2004"	"2004"	68	897472	7.6
	"Brain and Other Nervous System"	"31010-31040"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2005"	"2005"	68	897653	7.6
	"Brain and Other Nervous System"	"31010-31040"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2006"	"2006"	74	896254	8.3
	"Brain and Other Nervous System"	"31010-31040"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2007"	"2007"	55	897498	6.1
	"Brain and Other Nervous System"	"31010-31040"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2008"	"2008"	72	903824	8.0
	"Brain and Other Nervous System"	"31010-31040"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2009"	"2009"	72	910421	7.9
	"Brain and Other Nervous System"	"31010-31040"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2010"	"2010"	82	919506	8.9
	"Brain and Other Nervous System"	"31010-31040"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2011"	"2011"	76	928722	8.2
	"Brain and Other Nervous System"	"31010-31040"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2012"	"2012"	71	935290	7.6
	"Brain and Other Nervous System"	"31010-31040"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2013"	"2013"	74	942119	7.9
	"Brain and Other Nervous System"	"31010-31040"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"1999"	"1999"	84	1173102	7.2
	"Brain and Other Nervous System"	"31010-31040"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2000"	"2000"	101	1169060	8.6
